STATION,STATION_NAME,DATE,DLY-GRDD-BASE40,DLY-GRDD-BASE45,DLY-GRDD-BASE50,DLY-GRDD-BASE55,DLY-GRDD-BASE57,DLY-GRDD-BASE60,DLY-GRDD-BASE65,DLY-GRDD-BASE70,DLY-GRDD-BASE72,DLY-GRDD-TB4886,DLY-GRDD-TB5086,DLY-CLDD-BASE45,DLY-CLDD-BASE50,DLY-CLDD-BASE55,DLY-CLDD-BASE57,DLY-CLDD-BASE60,DLY-CLDD-NORMAL,DLY-CLDD-BASE70,DLY-CLDD-BASE72,DLY-HTDD-BASE40,DLY-HTDD-BASE45,DLY-HTDD-BASE50,DLY-HTDD-BASE55,DLY-HTDD-BASE57,DLY-HTDD-BASE60,DLY-HTDD-NORMAL,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00295084,LOS ALAMOS NM US,20100101,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,8,2.0,0.20,13,4.1,0.56,20,9.1,0.08,0.8,0.08,0.8,192,87,14,2,587,107,488,367,154,112,8,48,26,-1.9,-6.9,3.5,-7.3,-13.6,-14.7,-13.3,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100102,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,13,4.1,0.56,20,9.1,0.13,1.8,0.13,1.8,191,87,14,2,594,110,496,374,153,111,8,48,26,-1.9,-6.9,3.6,-7.3,-13.6,-14.7,-13.3,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100103,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,13,4.1,0.56,23,9.4,0.20,2.8,0.20,2.8,189,86,15,2,600,112,503,380,153,111,8,48,26,-1.8,-6.9,3.6,-7.3,-13.6,-14.7,-13.3,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100104,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,13,4.3,0.56,23,9.4,0.28,3.6,0.28,3.6,188,86,15,2,607,115,510,386,152,111,8,49,26,-1.8,-6.9,3.6,-7.3,-13.6,-14.7,-13.2,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100105,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,13,4.3,0.56,23,9.4,0.36,4.6,0.36,4.6,187,86,15,1,613,117,516,392,152,110,8,49,27,-1.8,-6.9,3.6,-7.3,-13.6,-14.7,-13.2,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100106,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,13,4.3,0.58,23,9.7,0.43,5.6,0.43,5.6,186,85,15,1,618,120,523,397,151,110,8,50,27,-1.8,-6.9,3.7,-7.2,-13.6,-14.7,-13.2,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100107,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,13,4.3,0.58,23,9.7,0.48,6.6,0.48,6.6,185,85,15,1,624,122,528,402,151,109,8,50,27,-1.8,-6.8,3.7,-7.2,-13.6,-14.7,-13.2,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100108,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,13,4.3,0.58,23,9.7,0.56,7.6,0.56,7.6,184,85,15,1,629,125,534,406,150,109,8,51,27,-1.7,-6.8,3.7,-7.2,-13.6,-14.7,-13.2,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100109,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,15,4.3,0.58,23,9.7,0.64,8.6,0.64,8.6,183,84,15,1,634,128,539,411,150,109,9,51,28,-1.7,-6.8,3.8,-7.2,-13.6,-14.7,-13.2,-13.4
GHCND:USC00295084,LOS ALAMOS NM US,20100110,-4321,-4321,0,0,0,0,0,0,0,-4321,-4321,-4321,0,0,0,0,0,0,0,6,9,12,14,16,17,20,0.08,10,2.0,0.20,15,4.3,0.58,23,9.9,0.71,9.7,0.71,9.7,183,84,16,1,639,131,543,415,150,108,9,51,28,-1.7,-6.8,3.8,-7.2,-13.6,-14.7,-13.2,-13.4
